Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): COMPUTER SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","16679","259505","15.56","273"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","7975","141335","17.72","95"
"3","TSINGHUA UNIVERSITY","CHINA MAINLAND","7763","133814","17.24","165"
"4","SOUTHEAST UNIVERSITY - CHINA","CHINA MAINLAND","5943","117528","19.78","144"
"5","XIDIAN UNIVERSITY","CHINA MAINLAND","7249","115682","15.96","140"
"6","UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA","CHINA MAINLAND","6395","115377","18.04","177"
"7","NANYANG TECHNOLOGICAL UNIVERSITY","SINGAPORE","4864","114915","23.63","160"
"8","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","9929","112434","11.32","78"
"9","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","3447","103994","30.17","34"
"10","UNIVERSITY OF TEXAS SYSTEM","USA","4940","102658","20.78","107"
"11","INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM)","INDIA","8285","98797","11.92","56"
"12","UNIVERSITY OF LONDON","ENGLAND","5077","97882","19.28","138"
"13","HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","5055","96591","19.11","76"
"14","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","3314","89880","27.12","116"
"15","ZHEJIANG UNIVERSITY","CHINA MAINLAND","6443","89274","13.86","87"
"16","BEIJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS","CHINA MAINLAND","6247","88435","14.16","97"
"17","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","5862","85648","14.61","96"
"18","ETH ZURICH","SWITZERLAND","2043","83787","41.01","25"
"19","NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM)","INDIA","7348","82601","11.24","53"
"20","GOOGLE INCORPORATED","USA","1369","82479","60.25","35"
"21","HARBIN INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","5054","77465","15.33","96"
"22","CITY UNIVERSITY OF HONG KONG","HONG KONG","3625","76615","21.14","87"
"23","WUHAN UNIVERSITY","CHINA MAINLAND","4210","74062","17.59","90"
"24","UNIVERSITY OF WISCONSIN SYSTEM","USA","1248","73142","58.61","17"
"25","DALIAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","3793","72572","19.13","88"
"26","KING ABDULAZIZ UNIVERSITY","SAUDI ARABIA","2726","72540","26.61","93"
"27","UNIVERSITY SYSTEM OF GEORGIA","USA","3537","72336","20.45","59"
"28","UNIVERSITY OF TECHNOLOGY SYDNEY","AUSTRALIA","2986","72067","24.13","95"
"29","BEIHANG UNIVERSITY","CHINA MAINLAND","4898","71466","14.59","68"
"30","UNIVERSITY OF WISCONSIN MADISON","USA","978","69350","70.91","14"
"31","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","3973","67796","17.06","52"
"32","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","4974","66950","13.46","57"
