Index,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers,Latitude,Longitude
1,CHINESE ACADEMY OF SCIENCES,CHINA,16679,259505,15.56,273,39.9093367,116.3297146
2,UNIVERSITY OF CALIFORNIA SYSTEM,USA,7975,141335,17.72,95,37.8022107,-122.271391
3,TSINGHUA UNIVERSITY,CHINA,7763,133814,17.24,165,40.0022905,116.320963
4,SOUTHEAST UNIVERSITY - CHINA,CHINA,5943,117528,19.78,144,35.0,105.0
5,XIDIAN UNIVERSITY,CHINA,7249,115682,15.96,140,34.1251589,108.8289653
6,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,CHINA,6395,115377,18.04,177,30.6735474,104.0962727
7,NANYANG TECHNOLOGICAL UNIVERSITY,SINGAPORE,4864,114915,23.63,160,1.3484104,103.6829332
8,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),FRANCE,9929,112434,11.32,78,47.839964,1.943371
9,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,SWITZERLAND,3447,103994,30.17,34,47.00016,8.01427
10,UNIVERSITY OF TEXAS SYSTEM,USA,4940,102658,20.78,107,32.868567,-117.228836
11,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),INDIA,8285,98797,11.92,56,22.0,79.0
12,UNIVERSITY OF LONDON,ENGLAND,5077,97882,19.28,138,51.5218979,-0.1288676
13,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,5055,96591,19.11,76,30.5202172,114.4118463
14,NATIONAL UNIVERSITY OF SINGAPORE,SINGAPORE,3314,89880,27.12,116,1.2962018,103.7768977
15,ZHEJIANG UNIVERSITY,CHINA,6443,89274,13.86,87,30.521595,120.7195312
16,BEIJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,CHINA,6247,88435,14.16,97,39.9602014,116.3519348
17,SHANGHAI JIAO TONG UNIVERSITY,CHINA,5862,85648,14.61,96,31.2008911,121.4283949
18,ETH ZURICH,SWITZERLAND,2043,83787,41.01,25,47.413218,8.5374914
19,NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM),INDIA,7348,82601,11.24,53,22.0,79.0
20,GOOGLE INCORPORATED,USA,1369,82479,60.25,35,34.396756,-84.432811
21,HARBIN INSTITUTE OF TECHNOLOGY,CHINA,5054,77465,15.33,96,45.741589,126.6255626
22,CITY UNIVERSITY OF HONG KONG,HONG KONG,3625,76615,21.14,87,22.3400204,114.1697166
23,WUHAN UNIVERSITY,CHINA,4210,74062,17.59,90,30.537354,114.3615203
24,UNIVERSITY OF WISCONSIN SYSTEM,USA,1248,73142,58.61,17,43.0756117,-89.4066909
25,DALIAN UNIVERSITY OF TECHNOLOGY,CHINA,3793,72572,19.13,88,38.8812564,121.52016
26,KING ABDULAZIZ UNIVERSITY,SAUDI ARABIA,2726,72540,26.61,93,21.4934146,39.2485449
27,UNIVERSITY SYSTEM OF GEORGIA,USA,3537,72336,20.45,59,32.75042,-83.50018
28,UNIVERSITY OF TECHNOLOGY SYDNEY,AUSTRALIA,2986,72067,24.13,95,-33.8832537,151.2003294
29,BEIHANG UNIVERSITY,CHINA,4898,71466,14.59,68,39.9809427,116.3409787
30,UNIVERSITY OF WISCONSIN MADISON,USA,978,69350,70.91,14,43.0802745,-89.4309587
31,STATE UNIVERSITY SYSTEM OF FLORIDA,USA,3973,67796,17.06,52,28.045053,-82.426189
32,EGYPTIAN KNOWLEDGE BANK (EKB),EGYPT,4974,66950,13.46,57,27.0,30.0
33,CENTRAL SOUTH UNIVERSITY,CHINA,3490,66822,19.15,77,35.0,105.0
34,ISLAMIC AZAD UNIVERSITY,IRAN,4179,65821,15.75,49,34.8367247,48.5619786
35,UNIVERSITY OF NEW SOUTH WALES SYDNEY,AUSTRALIA,2924,62975,21.54,75,-33.9170173,151.2251677
36,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,CHINA,3453,62616,18.13,78,23.160342,113.3372426
37,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),USA,3079,61478,19.97,34,40.696298,-77.995133
38,UNIV PARIS SACLAY COMUE,,3544,59864,16.89,67,18.78378,100.77899
39,UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS,CHINA,5202,59711,11.48,61,35.0,105.0
40,MCMASTER UNIVERSITY,CANADA,620,59404,95.81,8,43.2639397,-79.9178252
41,HONG KONG POLYTECHNIC UNIVERSITY,HONG KONG,3250,59307,18.25,80,22.3027119,114.178059
42,SHENZHEN UNIVERSITY,CHINA,3306,59210,17.91,74,22.5359022,113.9314749
43,UNIV BRETAGNE LOIRE,,4922,58757,11.94,45,18.78378,100.77899
44,BEIJING INSTITUTE OF TECHNOLOGY,CHINA,3977,58376,14.68,70,39.9578214,116.3098237
45,UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA CAS,CHINA,3883,58010,14.94,67,35.0,105.0
46,NORTHWESTERN POLYTECHNICAL UNIVERSITY,CHINA,3830,57871,15.11,70,34.2469224,108.9106235
47,SUN YAT SEN UNIVERSITY,CHINA,3755,56686,15.1,66,23.0996033,113.2923509
48,NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,CHINA,2592,55724,21.5,74,32.2037624,118.7078265
49,NORTHEASTERN UNIVERSITY - CHINA,CHINA,3449,55617,16.13,63,41.7634632,123.4117577
50,TIANJIN UNIVERSITY,CHINA,3478,54581,15.69,63,39.1072533,117.1778978
51,XI'AN JIAOTONG UNIVERSITY,CHINA,3635,54036,14.87,42,31.2721733,120.7367903
52,UNIVERSITY OF TORONTO,CANADA,1753,53979,30.79,30,43.663462,-79.3977597
53,SICHUAN UNIVERSITY,CHINA,3021,53947,17.86,63,30.5601863,103.9973029
54,UNIVERSITY OF BRITISH COLUMBIA,CANADA,1895,52748,27.84,54,49.2578314,-123.246242
55,HUNAN UNIVERSITY,CHINA,2825,51096,18.09,62,28.183548,112.9413466
56,TONGJI UNIVERSITY,CHINA,3077,50653,16.46,54,31.2847393,121.4969491
57,PEKING UNIVERSITY,CHINA,3270,49318,15.08,59,40.1733653,116.15722
58,IMPERIAL COLLEGE LONDON,ENGLAND,2266,49304,21.76,58,51.4989595,-0.1756407
59,UNIVERSITE PARIS SACLAY,FRANCE,2776,49268,17.75,62,48.7118307,2.1716058
60,HUAWEI TECHNOLOGIES,CHINA,2224,48891,21.98,52,31.2617971,121.6243165
61,UNIVERSITY OF SYDNEY,AUSTRALIA,2228,48485,21.76,62,-33.8889073,151.1894111
62,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),USA,2504,47896,19.13,41,42.3582529,-71.0966272
63,STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM,USA,2785,47401,17.02,44,47.662374,-122.290702
64,HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY,HONG KONG,2237,46727,20.89,52,22.3358031,114.2659088
65,NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY - CHINA,CHINA,4000,46686,11.67,47,35.0,105.0
66,UNITED STATES DEPARTMENT OF ENERGY (DOE),USA,2724,46670,17.13,32,38.021371,-85.910603
67,GRIFFITH UNIVERSITY,AUSTRALIA,626,46317,73.99,32,-27.9633383,153.384692
68,PRINCETON UNIVERSITY,USA,1438,46154,32.1,69,40.3386752,-74.6583655
69,UNIVERSITY OF MACAU,MACAU,1783,46013,25.81,65,22.1284604,113.5438378
70,STANFORD UNIVERSITY,USA,2193,45677,20.83,56,37.4313138,-122.1693654
71,NANJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,CHINA,3274,45234,13.82,51,32.1152716,118.9259566
72,KING SAUD UNIVERSITY,SAUDI ARABIA,2477,44255,17.87,52,24.7248229,46.6233911
73,NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,2679,44056,16.44,58,32.031826,118.8521427
74,UNIVERSITY OF CALIFORNIA BERKELEY,USA,1553,43963,28.31,24,37.8754996,-122.2390685
75,BEIJING JIAOTONG UNIVERSITY,CHINA,3243,43925,13.54,42,39.9504404,116.336069
76,INSTITUTE OF AUTOMATION CAS,CHINA,2099,43661,20.8,52,35.0,105.0
77,UNIVERSITY COLLEGE LONDON,ENGLAND,2194,43052,19.62,53,51.524203,-0.1330007
78,UNIVERSITY OF WATERLOO,CANADA,2295,42707,18.61,56,43.473362,-80.5412782
79,UNIVERSITY OF TEXAS AUSTIN,USA,1526,42280,27.71,37,30.2851494,-97.7339352
80,UNIVERSITY SYSTEM OF OHIO,USA,2705,42254,15.62,42,41.489895,-81.539839
81,OPENAI,USA,10,42056,4205.6,2,37.7622102,-122.4104396
82,NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,CHINA,3158,41194,13.04,42,32.037419,118.8153537
83,UNIVERSITY OF GRANADA,SPAIN,1417,40879,28.85,63,37.1827211,-3.6056278
84,GEORGIA INSTITUTE OF TECHNOLOGY,USA,2090,40593,19.42,38,33.7760948,-84.3988077
85,UNIVERSITY OF ILLINOIS SYSTEM,USA,2402,39610,16.49,39,37.570304,-77.537784
86,CHINESE UNIVERSITY OF HONG KONG,HONG KONG,2026,39544,19.52,39,22.4137195,114.2098955
87,CHONGQING UNIVERSITY,CHINA,2667,39277,14.73,46,29.5699826,106.4597701
88,NANJING UNIVERSITY,CHINA,2718,39232,14.43,45,32.0565957,118.7740883
89,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,USA,1607,38488,23.95,46,37.2219268,-80.4272818
90,AALTO UNIVERSITY,FINLAND,1606,38263,23.83,39,60.1860789,24.8281021
91,UNIVERSITE PARIS CITE,FRANCE,2514,38077,15.15,46,48.8514684,2.341089
92,GUANGDONG UNIVERSITY OF TECHNOLOGY,CHINA,1869,38055,20.36,66,23.0414169,113.3874652
93,DEAKIN UNIVERSITY,AUSTRALIA,1798,37465,20.84,40,-37.8475136,145.1149474
94,MONASH UNIVERSITY,AUSTRALIA,1979,37278,18.84,34,-37.7839745,144.9586743
95,CARNEGIE MELLON UNIVERSITY,USA,2191,37082,16.92,31,40.4441897,-79.9427192
96,SHANDONG UNIVERSITY,CHINA,3055,36785,12.04,32,36.3655393,120.6845859
97,UNIVERSITY OF CAMBRIDGE,ENGLAND,1546,36044,23.31,38,52.2109456,0.092005
98,UNIVERSITY OF OXFORD,ENGLAND,1850,35929,19.42,29,51.7587075,-1.2556685
99,SOUTHWEST JIAOTONG UNIVERSITY,CHINA,2011,35231,17.52,39,30.6968576,104.0473356
100,XIAMEN UNIVERSITY,CHINA,1937,34724,17.93,38,24.4399419,118.0930178
101,MICROSOFT,USA,1990,34711,17.44,35,37.3974949,-122.0842646
102,HEFEI UNIVERSITY OF TECHNOLOGY,CHINA,2037,34411,16.89,42,31.8467475,117.2905389
103,THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY,INDIA,1638,34356,20.97,33,30.3545336,76.3657969
104,UNIVERSITI MALAYA,MALAYSIA,1354,34181,25.24,35,3.1257602,101.6558796
105,UNIVERSITY OF MELBOURNE,AUSTRALIA,1634,34166,20.91,30,-37.8038271,144.9597056
106,COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO),AUSTRALIA,1665,33898,20.36,39,,
107,COLUMBIA UNIVERSITY,USA,1445,33706,23.33,30,40.8077558,-73.9616141
108,CONSIGLIO NAZIONALE DELLE RICERCHE (CNR),ITALY,2268,33673,14.85,27,44.4242871,8.8817623
109,CHINA UNIVERSITY OF GEOSCIENCES,CHINA,1677,32595,19.44,30,30.5253902,114.3938048
110,UNIVERSITY OF MANCHESTER,ENGLAND,1431,31920,22.31,35,53.4660226,-2.2330858
111,COMSATS UNIVERSITY ISLAMABAD (CUI),PAKISTAN,2067,31823,15.4,20,33.72148,73.04329
112,UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,CHINA,1820,31749,17.44,37,39.9902333,116.3531753
113,UNIVERSITY OF SURREY,ENGLAND,1208,31578,26.14,53,51.2430782,-0.5900545
