Index,Journals,Web of Science Documents,Cites,Cites/Paper,Top Papers
1,NEUROCOMPUTING,14134,264830,18.74,150
2,INFORMATION SCIENCES,10663,230201,21.59,186
3,IEEE TRANSACTIONS ON CYBERNETICS,5054,199083,39.39,336
4,IEEE INTERNET OF THINGS JOURNAL,9668,193053,19.97,303
5,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,6364,189439,29.77,275
6,APPLIED SOFT COMPUTING,8415,186903,22.21,122
7,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,6465,157214,24.32,164
8,KNOWLEDGE-BASED SYSTEMS,7033,148328,21.09,126
9,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,5842,142265,24.35,108
10,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,1048,117668,112.28,240
11,COMPUTERS AND ELECTRONICS IN AGRICULTURE,5787,115972,20.04,92
12,MULTIMEDIA TOOLS AND APPLICATIONS,16590,115276,6.95,32
13,COMPUTERS & INDUSTRIAL ENGINEERING,6104,114968,18.83,54
14,JOURNAL OF STATISTICAL SOFTWARE,724,108861,150.36,51
15,IEEE COMMUNICATIONS MAGAZINE,2537,103016,40.61,120
16,IEEE TRANSACTIONS ON COMMUNICATIONS,5246,100846,19.22,92
17,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,4844,99230,20.49,71
18,BMC BIOINFORMATICS,5953,96180,16.16,51
19,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,2377,90660,38.14,107
20,COMPUTERS IN BIOLOGY AND MEDICINE,5642,80871,14.33,75
21,IEEE COMMUNICATIONS LETTERS,6777,78349,11.56,26
22,SOFT COMPUTING,7844,76640,9.77,27
23,NEURAL NETWORKS,3274,73167,22.35,62
24,BRIEFINGS IN BIOINFORMATICS,3395,72306,21.30,97
25,COMPUTERS AND GEOTECHNICS,4165,71270,17.11,26
26,INFORMATION FUSION,1903,68206,35.84,152
27,IEEE TRANSACTIONS ON MULTIMEDIA,3732,67850,18.18,111
28,IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,3234,66178,20.46,47
29,ACM TRANSACTIONS ON GRAPHICS,2642,66030,24.99,35
30,ENVIRONMENTAL MODELLING & SOFTWARE,2648,66028,24.94,36
31,JOURNAL OF MACHINE LEARNING RESEARCH,2412,63797,26.45,50
32,MEDICAL IMAGE ANALYSIS,2027,63247,31.20,77
33,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,3916,62923,16.07,33
34,COMPUTERS & EDUCATION,2024,62267,30.76,28
35,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,3492,61870,17.72,54
36,COMMUNICATIONS OF THE ACM,986,61590,62.46,19
37,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,10321,56949,5.52,16
38,IEEE TRANSACTIONS ON INFORMATION THEORY,5071,56811,11.20,21
39,ACM COMPUTING SURVEYS,1522,56749,37.29,132
40,IEEE SYSTEMS JOURNAL,3925,52590,13.40,21
41,IEEE WIRELESS COMMUNICATIONS LETTERS,3915,51701,13.21,32
42,IEEE TRANSACTIONS ON MOBILE COMPUTING,3097,49330,15.93,87
43,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,2175,48641,22.36,37
44,WIRELESS PERSONAL COMMUNICATIONS,9536,48534,5.09,5
45,COMPUTERS & OPERATIONS RESEARCH,2779,46857,16.86,14
46,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,876,46254,52.80,95
47,COMPUTER NETWORKS,3960,46166,11.66,32
48,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,3244,44023,13.57,14
49,IEEE WIRELESS COMMUNICATIONS,1333,43538,32.66,66
50,ADVANCES IN ENGINEERING SOFTWARE,1294,41856,32.35,19
51,COMPUTERS & FLUIDS,3100,41838,13.50,6
52,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,2635,41022,15.57,27
53,COMPUTERS & ELECTRICAL ENGINEERING,3991,40624,10.18,12
54,JOURNAL OF BIOMEDICAL INFORMATICS,2084,39579,18.99,18
55,IEEE NETWORK,1564,37837,24.19,38
56,ARTIFICIAL INTELLIGENCE REVIEW,1559,35796,22.96,70
57,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,3729,35602,9.55,1
58,ENGINEERING WITH COMPUTERS,1710,34506,20.18,46
59,COMPUTER COMMUNICATIONS,3007,34316,11.41,13
60,COMPUTERS & STRUCTURES,1745,34161,19.58,12
61,JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING,2811,33912,12.06,15
62,COMPUTERS & GEOSCIENCES,1838,33731,18.35,19
63,DECISION SUPPORT SYSTEMS,1327,33204,25.02,17
64,JOURNAL OF SUPERCOMPUTING,5202,32010,6.15,4
65,SWARM AND EVOLUTIONARY COMPUTATION,1270,30795,24.25,39
66,COMPUTERS & SECURITY,2643,30669,11.60,16
67,IEEE-ACM TRANSACTIONS ON NETWORKING,2375,29688,12.50,15
68,COMPUTERS IN INDUSTRY,1253,28954,23.11,28
69,JOURNAL OF CHEMINFORMATICS,863,26757,31.00,34
70,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,3803,26453,6.96,4
71,IEEE TRANSACTIONS ON COMPUTERS,2266,24923,11.00,20
72,COMPUTER GRAPHICS FORUM,2700,24638,9.13,4
73,SCIENCE CHINA-INFORMATION SCIENCES,2174,24184,11.12,30
74,AD HOC NETWORKS,1884,24109,12.80,12
75,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,2452,24063,9.81,8
76,CMC-COMPUTERS MATERIALS & CONTINUA,5155,23989,4.65,14
77,NATURE MACHINE INTELLIGENCE,586,23849,40.70,62
78,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,2140,23537,11.00,28
79,MATHEMATICAL PROGRAMMING,1435,22169,15.45,12
80,IEEE TRANSACTIONS ON SERVICES COMPUTING,1389,21708,15.63,21
81,WIRELESS NETWORKS,3142,21650,6.89,8
82,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,1587,21312,13.43,36
83,IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,2047,21127,10.32,13
84,INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,2145,20953,9.77,4
85,NATURE,25,20873,834.92,13
86,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,4619,20766,4.50,8
87,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,2177,20595,9.46,0
88,JOURNAL OF SYSTEMS AND SOFTWARE,2147,20306,9.46,2
89,PLOS ONE,1981,19289,9.74,12
