,name,key,typee
0,P. F. Duvoisin,journals/jsac/DuvoisinHW87,Article
1,S. T. Hsieh,journals/jsac/DuvoisinHW87,Article
2,Edward P. Williamson,journals/jsac/DuvoisinHW87,Article
3,Robert B. Dybdal,journals/jsac/Dybdal83,Article
4,N. Gao,journals/jsac/GaoM94,Article
5,Salvatore D. Morgera,journals/jsac/GaoM94,Article
6,Yuan Shen,journals/jsac/ShenMW12,Article
7,Santiago Mazuelas,journals/jsac/ShenMW12,Article
8,Moe Z. Win,journals/jsac/ShenMW12,Article
9,David Breitgand,journals/jsac/BreitgandCNR10,Article
10,Rami Cohen,journals/jsac/BreitgandCNR10,Article
11,Amir Nahir,journals/jsac/BreitgandCNR10,Article
12,Danny Raz,journals/jsac/BreitgandCNR10,Article
13,Joseph M. Hanratty,journals/jsac/HanrattyS90,Article
14,Gordon L. Stuber,journals/jsac/HanrattyS90,Article
15,Marc P. C. Fossorier,journals/jsac/Fossorier01,Article
16,Pascal Frossard,journals/jsac/FrossardCSSWZ07,Article
17,Chang Wen Chen,journals/jsac/FrossardCSSWZ07,Article
18,Cormac J. Sreenan,journals/jsac/FrossardCSSWZ07,Article
19,K. P. Subbalakshmi,journals/jsac/FrossardCSSWZ07,Article
20,Dapeng Oliver Wu,journals/jsac/FrossardCSSWZ07,Article
21,Qian Zhang,journals/jsac/FrossardCSSWZ07,Article
22,Soo-Woong Lee,journals/jsac/LeeK10,Article
23,B. V. K. Vijaya Kumar,journals/jsac/LeeK10,Article
24,Mingyi Hong,journals/jsac/HongG12,Article
25,Alfredo Garcia,journals/jsac/HongG12,Article
26,Philip B. Grimado,journals/jsac/GrimadoC86,Article
27,Andrew J. Colucci,journals/jsac/GrimadoC86,Article
28,Jian Zhang 0002,journals/jsac/ZhangFAP97,Article
29,Michael R. Frater,journals/jsac/ZhangFAP97,Article
30,John F. Arnold,journals/jsac/ZhangFAP97,Article
31,Terence M. Percival,journals/jsac/ZhangFAP97,Article
32,Kohichi Tatekura,journals/jsac/TatekuraYWN86,Article
33,Hitoshi Yamamoto,journals/jsac/TatekuraYWN86,Article
34,Hiroharu Wakabayashi,journals/jsac/TatekuraYWN86,Article
35,Yasuhiko Niiro,journals/jsac/TatekuraYWN86,Article
36,Amit Bhargava,journals/jsac/BhargavaKT88,Article
37,James F. Kurose,journals/jsac/BhargavaKT88,Article
38,Don Towsley,journals/jsac/BhargavaKT88,Article
39,S. Sankaranarayanan,journals/jsac/SankaranarayananS03,Article
40,S. Subramaniam,journals/jsac/SankaranarayananS03,Article
41,Nasser M. Nasrabadi,journals/jsac/NasrabadiCR92,Article
42,Chang Y. Choo,journals/jsac/NasrabadiCR92,Article
43,Jennifer U. Roy,journals/jsac/NasrabadiCR92,Article
44,Vincent W. S. Chan,journals/jsac/Chan07,Article
45,F. Assal,journals/jsac/AssalGBZA83,Article
46,Ramesh K. Gupta,journals/jsac/AssalGBZA83,Article
47,Khodadad Betaharon,journals/jsac/AssalGBZA83,Article
48,Amir I. Zaghloul,journals/jsac/AssalGBZA83,Article
49,J. Apple,journals/jsac/AssalGBZA83,Article
50,Alessandro Biagioni,journals/jsac/BiagioniFMT09,Article
51,Romano Fantacci,journals/jsac/BiagioniFMT09,Article
52,Dania Marabissi,journals/jsac/BiagioniFMT09,Article
53,Daniele Tarchi,journals/jsac/BiagioniFMT09,Article
54,Xiaofu Wu,journals/jsac/WuZY13,Article
55,Chunming Zhao,journals/jsac/WuZY13,Article
56,Xiaohu You,journals/jsac/WuZY13,Article
57,Joseph Y. Hui,journals/jsac/HuiGMY91,Article
58,Melike B. Gursoy,journals/jsac/HuiGMY91,Article
59,Nader Moayeri,journals/jsac/HuiGMY91,Article
60,Roy D. Yates,journals/jsac/HuiGMY91,Article
61,Gavin Young,journals/jsac/Young91,Article
62,Bernhard Schrenk,journals/jsac/SchrenkLLLBPSAL15,Article
63,Fabian Laudenbach,journals/jsac/SchrenkLLLBPSAL15,Article
64,Roland Lieger,journals/jsac/SchrenkLLLBPSAL15,Article
65,Thomas Lorunser,journals/jsac/SchrenkLLLBPSAL15,Article
66,Paraskevas Bakopoulos,journals/jsac/SchrenkLLLBPSAL15,Article
67,Andreas Poppe,journals/jsac/SchrenkLLLBPSAL15,Article
68,Martin Stierle,journals/jsac/SchrenkLLLBPSAL15,Article
69,Hercules Avramopoulos,journals/jsac/SchrenkLLLBPSAL15,Article
70,Helmut Leopold,journals/jsac/SchrenkLLLBPSAL15,Article
71,Vinko Erceg,journals/jsac/ErcegMGGRGDRBWM99,Article
72,David G. Michelson,journals/jsac/ErcegMGGRGDRBWM99,Article
73,Saeed S. Ghassemzadeh,journals/jsac/ErcegMGGRGDRBWM99,Article
74,Larry J. Greenstein,journals/jsac/ErcegMGGRGDRBWM99,Article
75,Anthony J. Rustako Jr.,journals/jsac/ErcegMGGRGDRBWM99,Article
76,Peter B. Guerlain,journals/jsac/ErcegMGGRGDRBWM99,Article
77,Marc K. Dennison,journals/jsac/ErcegMGGRGDRBWM99,Article
78,R. S. Roman,journals/jsac/ErcegMGGRGDRBWM99,Article
79,Donald J. Barnickel,journals/jsac/ErcegMGGRGDRBWM99,Article
80,Spencer C. Wang,journals/jsac/ErcegMGGRGDRBWM99,Article
81,Robert R. Miller,journals/jsac/ErcegMGGRGDRBWM99,Article
82,Jonathan P. Cummings,journals/jsac/Cummings99,Article
83,Jiancong Chen,journals/jsac/ChenCZZC03,Article
84,Shueng-Han Gary Chan,journals/jsac/ChenCZZC03,Article
85,Qian Zhang,journals/jsac/ChenCZZC03,Article
86,Wenwu Zhu 0001,journals/jsac/ChenCZZC03,Article
87,Jin Chen,journals/jsac/ChenCZZC03,Article
88,Brad Mager,journals/jsac/MagerLP15,Article
89,Philip Lundrigan,journals/jsac/MagerLP15,Article
90,Neal Patwari,journals/jsac/MagerLP15,Article
91,Xudong Wang,journals/jsac/WangPMH14,Article
92,Yibo Pi,journals/jsac/WangPMH14,Article
93,Wenguang Mao,journals/jsac/WangPMH14,Article
94,Hua Huang,journals/jsac/WangPMH14,Article
95,Seymour Stein,journals/jsac/Stein87,Article
96,Francesco Pantisano,journals/jsac/PantisanoBSD12,Article
97,Mehdi Bennis,journals/jsac/PantisanoBSD12,Article
98,Walid Saad,journals/jsac/PantisanoBSD12,Article
99,Mrouane Debbah,journals/jsac/PantisanoBSD12,Article
100,Toshio Miki,journals/jsac/MikiH84,Article
101,Masaharu Hata,journals/jsac/MikiH84,Article
102,Kayvan Mosharaf,journals/jsac/MosharafTL05,Article
103,Jerome Talim,journals/jsac/MosharafTL05,Article
104,Ioannis Lambadaris,journals/jsac/MosharafTL05,Article
105,A. Yu. Petrov,journals/jsac/PetrovE05,Article
106,Manfred Eich,journals/jsac/PetrovE05,Article
107,Cong Xiong,journals/jsac/XiongLL14,Article
108,Lu Lu,journals/jsac/XiongLL14,Article
109,Geoffrey Ye Li,journals/jsac/XiongLL14,Article
110,Alex Goniotakis,journals/jsac/GoniotakisE90,Article
111,Ahmed K. Elhakeem,journals/jsac/GoniotakisE90,Article
112,Dragan Samardzija,journals/jsac/SamardzijaM07,Article
113,Narayan B. Mandayam,journals/jsac/SamardzijaM07,Article
114,Peter A. Beerel,journals/jsac/BeerelC01,Article
115,Keith M. Chugg,journals/jsac/BeerelC01,Article
116,Pol Blasco,journals/jsac/BlascoG15,Article
117,Deniz Gunduz,journals/jsac/BlascoG15,Article
118,Juan Jos Jaramillo,journals/jsac/JaramilloSY11,Article
119,R. Srikant,journals/jsac/JaramilloSY11,Article
120,Lei Ying,journals/jsac/JaramilloSY11,Article
121,Erik Leitinger,journals/jsac/LeitingerMRDW15,Article
122,Paul Meissner,journals/jsac/LeitingerMRDW15,Article
123,Christoph Rudisser,journals/jsac/LeitingerMRDW15,Article
124,Gregor Dumphart,journals/jsac/LeitingerMRDW15,Article
125,Klaus Witrisal,journals/jsac/LeitingerMRDW15,Article
126,Carla-Fabiana Chiasserini,journals/jsac/ChiasseriniR01,Article
127,Ramesh R. Rao,journals/jsac/ChiasseriniR01,Article
128,Kenji Kawahara,journals/jsac/KawaharaKTO97,Article
129,Koichiro Kitajima,journals/jsac/KawaharaKTO97,Article
130,Tetsuya Takine,journals/jsac/KawaharaKTO97,Article
131,Yuji Oie,journals/jsac/KawaharaKTO97,Article
132,Mario Marchese,journals/jsac/MarcheseRM04,Article
133,Michele Rossi,journals/jsac/MarcheseRM04,Article
134,Giacomo Morabito,journals/jsac/MarcheseRM04,Article
135,Toshihiko Matsumura,journals/jsac/MatsumuraGM86,Article
136,Hirohisa Gambe,journals/jsac/MatsumuraGM86,Article
137,Kazuo Murano,journals/jsac/MatsumuraGM86,Article
138,Franco Callegati,journals/jsac/CallegatiCR02,Article
139,Giorgio Corazza,journals/jsac/CallegatiCR02,Article
140,Carla Raffaelli,journals/jsac/CallegatiCR02,Article
141,Ral H. Etkin,journals/jsac/EtkinPT07,Article
142,Abhay Parekh,journals/jsac/EtkinPT07,Article
143,David Tse,journals/jsac/EtkinPT07,Article
144,Thanh Tng Kim,journals/jsac/KimSC08,Article
145,Mikael Skoglund,journals/jsac/KimSC08,Article
146,Giuseppe Caire,journals/jsac/KimSC08,Article
147,Deborah Caswell,journals/jsac/CaswellR00,Article
148,Srinivas Ramanathan,journals/jsac/CaswellR00,Article
149,Gee-Swee Poo,journals/jsac/PooZ06,Article
150,Yinzhu Zhou,journals/jsac/PooZ06,Article
151,Sirin Tekinay,journals/jsac/TekinayJ92,Article
152,Bijan Jabbari,journals/jsac/TekinayJ92,Article
153,Norbert Grtz,journals/jsac/Gortz01,Article
154,Jianwei Huang,journals/jsac/HuangSAB09,Article
155,Vijay G. Subramanian,journals/jsac/HuangSAB09,Article
156,Rajeev Agrawal,journals/jsac/HuangSAB09,Article
157,Randall Berry,journals/jsac/HuangSAB09,Article
158,Wing C. Lau,journals/jsac/LanAS01,Article
159,Mohamed-Slim Alouini,journals/jsac/LanAS01,Article
160,Marvin K. Simon,journals/jsac/LanAS01,Article
161,Milena Butto,journals/jsac/ButtoCT91,Article
162,Elisa Cavallero,journals/jsac/ButtoCT91,Article
163,Alberto Tonietti,journals/jsac/ButtoCT91,Article
164,Zhiguo Ding,journals/jsac/DingLGT12,Article
165,Kin K. Leung,journals/jsac/DingLGT12,Article
