year,papers
1950,34
1951,94
1952,64
1953,198
1954,262
1955,360
1956,555
1957,791
1958,644
1959,1120
1960,584
1961,260
1962,616
1963,829
1964,1100
1965,916
1966,462
1967,2
1968,2
1969,2
1970,11
1971,9
1972,110
1973,317
1974,537
1975,580
1976,628
1977,903
1978,1650
1979,2914
1980,4209
1981,5611
1982,6585
1983,6736
1984,7526
1985,7694
1986,7870
1987,7849
1988,7878
1989,8376
1990,8784
1991,9084
1992,9301
1993,8882
1994,10400
1995,10700
1996,11800
1997,12000
1998,12700
1999,14600
2000,17800
2001,18400
2002,20100
2003,22400
2004,26500
2005,27600
2006,27700
2007,29600
2008,28300
2009,29200
2010,26300
2011,26900
2012,27600
2013,26200
2014,26200
2015,26500
2016,26500
2017,25900
2018,25512
2019,23845
2020,24165
2021,22279
2022,20945
2023,24168
2024,16815
